"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"ABB","ABB Ltd","22.35","47538421861.35","n/a","Switzerland","n/a","Consumer Durables","Electrical Products","http://www.nasdaq.com/symbol/abb",
"ACIU","AC Immune SA","15.68","868609938.56","n/a","Switzerland","2016","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aciu",
"ACN","Accenture plc","115.59","74524169280.03","n/a","Ireland","2001","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/acn",
"ADAP","Adaptimmune Therapeutics plc","5.19","367375790.04","n/a","United Kingdom","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/adap",
"AGRO","Adecoagro S.A.","11.28","1380468960","n/a","Luxembourg","2011","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/agro",
"AAAP","Advanced Accelerator Applications S.A.","38.39","1507886450.95","n/a","France","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aaap",
"ANW","Aegean Marine Petroleum Network Inc.","9.23","467922723.19","n/a","Greece","2006","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/anw",
"AEB","Aegon NV","25.25","0","n/a","Netherlands","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeb",
"AED","Aegon NV","26.35","0","n/a","Netherlands","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aed",
"AEG","Aegon NV","4.24","8942853087.36","n/a","Netherlands","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeg",
"AEH","Aegon NV","25.8","0","n/a","Netherlands","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeh",
"AEK","Aegon NV","27.22","0","n/a","Netherlands","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aek",
"AER","Aercap Holdings N.V.","40.72","7649892810.64","n/a","Netherlands","2006","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aer",
"AFMD","Affimed N.V.","2.3","76496629.2","n/a","Germany","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/afmd",
"AIXG","Aixtron SE","6.3299","706301528.2117","n/a","Germany","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aixg",
"ALKS","Alkermes plc","55.62","8429583820.86","n/a","Ireland","1991","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alks",
"AWH","Allied World Assurance Company Holdings, AG","42.86","4052707319.62","n/a","Switzerland","2006","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/awh",
"ASPS","Altisource Portfolio Solutions S.A.","30.86","566264057.86","n/a","Luxembourg","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/asps",
"AMRN","Amarin Corporation plc","3.2","592914441.6","n/a","Ireland","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amrn",
"DOX","Amdocs Limited","58.99","8721789480","n/a","Guernsey","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/dox",
"AMFW","Amec Plc Ord","7.32","2877724871.16","n/a","United Kingdom","2014","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/amfw",
"BUD","Anheuser-Busch Inbev SA","126.77","255979304917.21","n/a","Belgium","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/bud",
"MT","ArcelorMittal","6.68","20420760000","n/a","Luxembourg","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/mt",
"ASND","Ascendis Pharma A/S","19.08","479446857.36","n/a","Denmark","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/asnd",
"ASML","ASML Holding N.V.","105.26","44615026982.72","n/a","Netherlands","1995","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/asml",
"AZN","Astrazeneca PLC","30.72","77721600000","n/a","United Kingdom","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/azn",
"ABY","Atlantica Yield plc","18.59","1863038863.4","n/a","United Kingdom","2014","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/aby",
"TEAM","Atlassian Corporation Plc","29.04","6283049620.32","n/a","United Kingdom","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/team",
"EARS","Auris Medical Holding AG","1.32","45315209.28","n/a","Switzerland","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ears",
"ALV","Autoliv, Inc.","99.42","8770685755.5","n/a","Sweden","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/alv",
"AVG","AVG Technologies N.V.","25.25","1278465903.25","n/a","Netherlands","2012","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/avg",
"AV","Aviva plc","10.89","22095810000","n/a","United Kingdom","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/av",
"AVV","Aviva plc","25.72","0","n/a","United Kingdom","2011","Finance","Life Insurance","http://www.nasdaq.com/symbol/avv",
"BBVA","Banco Bilbao Viscaya Argentaria S.A.","6.79","44001630310.75","n/a","Spain","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bbva",
"SAN","Banco Santander, S.A.","4.67","67409080343.93","n/a","Spain","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/san",
"SAN^A","Banco Santander, S.A.","25.76","0","n/a","Spain","n/a","n/a","n/a","http://www.nasdaq.com/symbol/san^a",
"SAN^B","Banco Santander, S.A.","24.3","0","n/a","Spain","n/a","n/a","n/a","http://www.nasdaq.com/symbol/san^b",
"SAN^C","Banco Santander, S.A.","25.58","0","n/a","Spain","n/a","n/a","n/a","http://www.nasdaq.com/symbol/san^c",
"SAN^I","Banco Santander, S.A.","25.48","0","n/a","Spain","n/a","n/a","n/a","http://www.nasdaq.com/symbol/san^i",
"TAPR","Barclays Inverse US Treasury Composite ETN","19.77","13052154","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/tapr",
"BCS","Barclays PLC","8.92","37562120000","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bcs",
"BCS^A","Barclays PLC","26.01","0","n/a","United Kingdom","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bcs^a",
"BCS^D","Barclays PLC","26.11","0","n/a","United Kingdom","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bcs^d",
"BBL","BHP Billiton plc","30.15","80235827471.25","n/a","United Kingdom","n/a","Energy","Coal Mining","http://www.nasdaq.com/symbol/bbl",
"BP","BP p.l.c.","36.25","113558440301.25","n/a","United Kingdom","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/bp",
"BTI","British American Tobacco p.l.c.","113.35","105662120129","n/a","United Kingdom","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/bti",
"BT","BT Group plc","23.51","46837560354.63","n/a","United Kingdom","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/bt",
"CPLP","Capital Product Partners L.P.","3.16","380493880.96","n/a","Greece","2007","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/cplp",
"CLLS","Cellectis S.A.","19","671298405","n/a","France","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/clls",
"CYAD","Celyad SA","17.4001","162057623.5603","n/a","Belgium","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cyad",
"CGG","CGG","29.4535","162974668.6545","n/a","France","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cgg",
"CBI","Chicago Bridge & Iron Company N.V.","27.62","2849219457.94","n/a","Netherlands","1997","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/cbi",
"CMPR","Cimpress N.V","95.83","3027559298.26","n/a","Netherlands","n/a","Miscellaneous","Publishing","http://www.nasdaq.com/symbol/cmpr",
"CNV","Cnova N.V.","5.36","2365356454.56","n/a","Netherlands","2014","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/cnv",
"CSTM","Constellium N.V.","5.6","590932568.8","n/a","Netherlands","2013","Basic Industries","Metal Fabrications","http://www.nasdaq.com/symbol/cstm",
"CLB","Core Laboratories N.V.","106.2","4684089272.4","n/a","Netherlands","1995","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/clb",
"CMRE","Costamare Inc.","7.26","549564576","n/a","Greece","2010","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/cmre",
"CMRE^B","Costamare Inc.","19.69","0","n/a","Greece","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cmre^b",
"CMRE^C","Costamare Inc.","21.05","0","n/a","Greece","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cmre^c",
"CMRE^D","Costamare Inc.","21.01","0","n/a","Greece","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cmre^d",
"GLDI","Credit Suisse Gold Shares Covered Calls ETN","9.9","133901479.8","n/a","Switzerland","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/gldi",
"CS","Credit Suisse Group","13.7","28514683580.5","n/a","Switzerland","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/cs",
"SLVO","Credit Suisse Silver Shares Covered Call ETN","9.07","7709500","n/a","Switzerland","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/slvo",
"CRH","CRH PLC","33.1","27271462474.3","n/a","Ireland","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/crh",
"CRSP","CRISPR Therapeutics AG","13.82","0","n/a","Switzerland","2016","n/a","n/a","http://www.nasdaq.com/symbol/crsp",
"CRTO","Criteo S.A.","35.42","2253284989.34","n/a","France","2013","Technology","Advertising","http://www.nasdaq.com/symbol/crto",
"CB","D/B/A Chubb Limited New","121.9","56693185808.3","n/a","Switzerland","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/cb",
"DAC","Danaos Corporation","2.52","276694367.04","n/a","Greece","2006","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dac",
"DBVT","DBV Technologies S.A.","35.57","1721952877.06","n/a","France","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/dbvt",
"DLPH","Delphi Automotive plc","63.92","17435121925.12","n/a","United Kingdom","2011","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/dlph",
"DB","Deutsche Bank AG","14.31","19561770000","n/a","Germany","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/db",
"DTK","Deutsche Bank AG","24.5","0","n/a","Germany","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/dtk",
"DXB","Deutsche Bank AG","23.27","0","n/a","Germany","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/dxb",
"DHT","DHT Holdings, Inc.","4.38","408943351.56","n/a","Jersey","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dht",
"DEO","Diageo plc","108.24","74533545422.16","n/a","United Kingdom","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/deo",
"DCIX","Diana Containerships Inc.","2.7","25275439.8","n/a","Greece","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dcix",
"DSX","Diana Shipping inc.","2.51","207190502.67","n/a","Greece","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dsx",
"DSX^B","Diana Shipping inc.","15.49","0","n/a","Greece","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dsx^b",
"DSXN","Diana Shipping inc.","22.5","0","n/a","Greece","2015","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dsxn",
"DRYS","DryShips Inc.","0.3619","674289.9086","n/a","Greece","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/drys",
"DLNG","Dynagas LNG Partners LP","15.83","561806700","n/a","Greece","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/dlng",
"DLNG^A","Dynagas LNG Partners LP","25.61","0","n/a","Greece","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dlng^a",
"ETN","Eaton Corporation, PLC","63.71","28968937000","n/a","Ireland","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/etn",
"EDAP","EDAP TMS S.A.","2.72","78139115.52","n/a","France","1997","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/edap",
"ENDP","Endo International plc","20.81","4637715372.21","n/a","Ireland","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/endp",
"E","ENI S.p.A.","29.96","54440096243.4","n/a","Italy","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/e",
"ESV","ENSCO plc","8.9","2681903723.3","n/a","United Kingdom","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/esv",
"ERIC","Ericsson","5.1","16753488489.3","n/a","Sweden","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/eric",
"EURN","Euronav NV","8.05","1281632039.45","n/a","Belgium","2015","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/eurn",
"ESEA","Euroseas Ltd.","1.77","14506495.2","n/a","Greece","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/esea",
"GSM","Ferroglobe PLC","9.02","1549980140.06","n/a","United Kingdom","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/gsm",
"FCAM","Fiat Chrysler Automobiles N.V.","63.96","0","n/a","United Kingdom","2014","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/fcam",
"FCAU","Fiat Chrysler Automobiles N.V.","6.3","10697244345.9","n/a","United Kingdom","2014","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/fcau",
"FLML","Flamel Technologies S.A.","12.22","503968123.88","n/a","France","1996","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/flml",
"FLTX","Fleetmatics Group PLC","59.95","2348059072.15","n/a","Ireland","2012","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/fltx",
"FLY","Fly Leasing Limited","12.1","403510679","n/a","Ireland","2007","n/a","n/a","http://www.nasdaq.com/symbol/fly",
"FWP","Forward Pharma A/S","20.55","963214133.7","n/a","Denmark","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/fwp",
"FMS","Fresenius Medical Care Corporation","41.48","25364985903.44","n/a","Germany","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/fms",
"GLPG","Galapagos NV","65.74","3031239055.92","n/a","Belgium","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/glpg",
"GRMN","Garmin Ltd.","48.6","9179442514.8","n/a","Switzerland","2000","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/grmn",
"GSK","GlaxoSmithKline PLC","41.13","100200906000","n/a","United Kingdom","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gsk",
"GBLI","Global Indemnity plc","30.26","531194449.44","n/a","Ireland","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/gbli",
"GBLIZ","Global Indemnity plc","25.99","0","n/a","Ireland","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/gbliz",
"GSL","Global Ship Lease, Inc.","1.41","77499949.23","n/a","United Kingdom","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/gsl",
"GSL^B","Global Ship Lease, Inc.","20.35","0","n/a","United Kingdom","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gsl^b",
"GLBS","Globus Maritime Limited","2.02","5211169.74","n/a","Greece","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/glbs",
"GRFS","Grifols, S.A.","15.13","10402705758.04","n/a","Spain","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/grfs",
"GWPH","GW Pharmaceuticals Plc","123.11","2679490873.54","n/a","United Kingdom","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gwph",
"HZNP","Horizon Pharma plc","17.5","2815835295","n/a","Ireland","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/hznp",
"HSBC","HSBC Holdings plc","38.23","151490198000","n/a","United Kingdom","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/hsbc",
"HSBC^A","HSBC Holdings plc","26.11","0","n/a","United Kingdom","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hsbc^a",
"HSEA","HSBC Holdings plc","26.88","0","n/a","United Kingdom","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/hsea",
"HSEB","HSBC Holdings plc","25.88","0","n/a","United Kingdom","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/hseb",
"ICLR","ICON plc","84.54","4688556866.58","n/a","Ireland","1998","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/iclr",
"ING","ING Group, N.V.","12.84","49693153893","n/a","Netherlands","1997","Finance","Commercial Banks","http://www.nasdaq.com/symbol/ing",
"INZ","ING Group, N.V.","26.33","0","n/a","Netherlands","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/inz",
"ISF","ING Group, N.V.","25.99","0","n/a","Netherlands","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/isf",
"ISG","ING Group, N.V.","25.83","0","n/a","Netherlands","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/isg",
"ISP","ING Group, N.V.","25.81","0","n/a","Netherlands","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/isp",
"IR","Ingersoll-Rand plc (Ireland)","65.76","16965975244.32","n/a","Ireland","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/ir",
"INNL","Innocoll Holdings","6.22","1952503306.48","n/a","Ireland","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/innl",
"I","Intelsat S.A.","2.75","297275000","n/a","Luxembourg","2013","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/i",
"IHG","Intercontinental Hotels Group","39.29","7730872490.2","n/a","United Kingdom","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/ihg",
"INXN","InterXion Holding N.V.","38.34","2702164860","n/a","Netherlands","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/inxn",
"DTYS","iPath US Treasury 10-year Bear ETN","13.2503","40913203.0657","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/dtys",
"DTYL","iPath US Treasury 10-year Bull ETN","81.8","5627267.4","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/dtyl",
"DTUS","iPath US Treasury 2-year Bear ETN","29.51","7921841.46","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/dtus",
"DTUL","iPath US Treasury 2-year Bull ETN","66.312","3907965.096","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/dtul",
"DFVS","iPath US Treasury 5-year Bear Exchange Traded Note","24.3089","1752671.69","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/dfvs",
"DFVL","iPath US Treasury 5-year Bull ETN","69.64","4909620","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/dfvl",
"FLAT","iPath US Treasury Flattener ETN","62.516","3464136.592","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/flat",
"DLBS","iPath US Treasury Long Bond Bear ETN","14.23","16742278.04","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/dlbs",
"DLBL","iPath US Treasury Long Bond Bull ETN","81.65","5793557.4","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/dlbl",
"STPP","iPath US Treasury Steepener ETN","30.79","5308811.8","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/stpp",
"JHX","James Hardie Industries plc.","15.64","6969210588","n/a","Ireland","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/jhx",
"JAZZ","Jazz Pharmaceuticals plc","121.26","7340123537.34","n/a","Ireland","2007","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/jazz",
